amy_cells
14.29968
98.85931
23.98062
19.94238
13.10825
24.65353
79.81558
75.99669
44.9502
76.8115
39.42022
73.26355
94.83595
37.18004
78.3637
41.30745
77.43559
59.1032
30.14317
96.80519
100
96.65165
99.39203
47.38617
