gail_cells
16.59412
99.03965
26.01376
21.78497
15.14359
27.12307
80.81484
77.56824
45.92171
78.82986
42.69066
74.65715
94.46173
40.97834
80.09396
44.29636
76.68133
58.61444
31.14986
96.85564
99.8702
96.03729
99.31164
48.69223
