"image_name","automated_cellularity","human_cellularity","error"
"bf1.tif",48.9939644004003,"38.221549987793",10.7724144126073
"bf10.tif",62.1342969861049,"65.5689239501953",-3.4346269640904
"bf11.tif",25.363187629891,"23.2339859008789",2.1292017290121
"bf12.tif",14.4860753414581,"13.5608673095703",0.9252080318878
"bf13.tif",99.093278048434,"100",-0.906721951565999
"bf14.tif",75.8790315898411,"77.6565551757812",-1.77752358594009
"bf15.tif",37.7038729304097,"18.656587600708",19.0472853297017
"bf16.tif",16.3069597081985,"13.5050773620605",2.801882346138
"bf17.tif",41.9109477966927,"50.377082824707",-8.4661350280143
"bf18.tif",90.7885369512024,"96.3790893554688",-5.5905524042664
"bf19.tif",42.815133226574,NA,NA
"bf2.tif",98.1687995658339,"99.1547584533691",-0.985958887535205
"bf20.tif",72.0735726569727,NA,NA
"bf21.tif",75.3221805293213,"79.1705131530762",-3.8483326237549
"bf22.tif",26.9889289283534,"25.2802848815918",1.7086440467616
"bf23.tif",24.7040301947541,NA,NA
"bf3.tif",97.1837961854356,"100",-2.8162038145644
"bf4.tif",65.1128425852587,"71.1048126220703",-5.99197003681159
"bf5.tif",35.1985042129403,"31.8655014038086",3.3330028091317
"bf6.tif",48.773591765436,"48.6454010009766",0.128190764459404
"bf7.tif",17.1636276318526,"14.6448135375977",2.5188140942549
"bf8.tif",21.7516880551812,"17.7981376647949",3.9535503903863
"bf9.tif",90.8204971244299,"96.0978507995605",-5.2773536751306
