"image_name","cellularity"
"bf1.tif","48.9939644004003"
"bf10.tif","62.1342969861049"
"bf11.tif","25.363187629891"
"bf12.tif","14.4860753414581"
"bf13.tif","99.093278048434"
"bf14.tif","75.8790315898411"
"bf15.tif","37.7038729304097"
"bf16.tif","16.3069597081985"
"bf17.tif","41.9109477966927"
"bf18.tif","90.7885369512024"
"bf19.tif","42.815133226574"
"bf2.tif","98.1687995658339"
"bf20.tif","72.0735726569727"
"bf21.tif","75.3221805293213"
"bf22.tif","26.9889289283534"
"bf23.tif","24.7040301947541"
"bf3.tif","97.1837961854356"
"bf4.tif","65.1128425852587"
"bf5.tif","35.1985042129403"
"bf6.tif","48.773591765436"
"bf7.tif","17.1636276318526"
"bf8.tif","21.7516880551812"
"bf9.tif","90.8204971244299"
